passenger_id,trajet_id,quiet_ride,radio_ok,smoking_ok,pets_ok,luggage_large,female_driver_pref,distance_km,score_distance,work_hour_match,distance_bucket,quiet_ride_bin,radio_ok_bin,smoking_ok_bin,pets_ok_bin,luggage_large_bin,female_driver_pref_bin
P18,T20377,yes,no,no,no,yes,no,16.46,0.921,0,dist:close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20378,yes,no,no,no,yes,yes,10.13,0.9506,1,dist:close,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20379,yes,no,no,no,yes,no,29.46,0.863,0,dist:close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20380,yes,no,no,no,yes,yes,3.25,0.9839,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20381,yes,no,no,no,yes,no,15.75,0.9243,1,dist:close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20382,no,no,no,no,yes,yes,241.82,0.2985,0,dist:very_far,0.0,0.0,0.0,0.0,1.0,1.0
P18,T20383,yes,no,no,no,yes,yes,259.11,0.2737,1,dist:very_far,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20384,yes,no,no,no,yes,no,28.43,0.8675,1,dist:close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20385,yes,yes,no,no,yes,no,17.31,0.9171,1,dist:close,1.0,1.0,0.0,0.0,1.0,0.0
P18,T20386,yes,no,no,no,yes,no,17.73,0.9152,1,dist:close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20387,yes,no,no,no,yes,yes,4.13,0.9796,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20388,yes,no,no,yes,no,no,7.78,0.9618,1,dist:very_close,1.0,0.0,0.0,1.0,0.0,0.0
P18,T20389,yes,no,no,no,yes,yes,254.97,0.2795,1,dist:very_far,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20390,yes,no,no,no,yes,yes,1.13,0.9944,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20391,yes,no,no,no,yes,no,35.48,0.8374,0,dist:medium,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20392,no,no,no,no,yes,yes,19.05,0.9091,1,dist:close,0.0,0.0,0.0,0.0,1.0,1.0
P18,T20393,yes,no,no,no,yes,no,244.55,0.2944,1,dist:very_far,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20394,yes,no,no,no,yes,no,13.97,0.9325,0,dist:close,1.0,0.0,0.0,0.0,1.0,0.0
P18,T20395,no,no,no,no,yes,yes,415.68,0.1251,1,dist:very_far,0.0,0.0,0.0,0.0,1.0,1.0
P18,T20396,yes,no,no,no,no,no,6.24,0.9693,1,dist:very_close,1.0,0.0,0.0,0.0,0.0,0.0
P18,T20397,yes,no,no,no,yes,yes,40.9,0.8151,1,dist:medium,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20398,yes,no,no,no,yes,yes,3.11,0.9846,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20399,yes,yes,no,yes,yes,no,11.4,0.9446,1,dist:close,1.0,1.0,0.0,1.0,1.0,0.0
P18,T20400,yes,no,no,no,yes,yes,248.88,0.2881,1,dist:very_far,1.0,0.0,0.0,0.0,1.0,1.0
P18,T20401,no,no,no,no,yes,yes,418.43,0.1234,0,dist:very_far,0.0,0.0,0.0,0.0,1.0,1.0
P19,T20402,no,yes,no,no,no,yes,21.08,0.9,1,dist:close,0.0,1.0,0.0,0.0,0.0,1.0
P19,T20403,yes,yes,no,yes,yes,yes,42.96,0.8067,1,dist:medium,1.0,1.0,0.0,1.0,1.0,1.0
P19,T20404,yes,yes,no,yes,yes,yes,6.45,0.9683,0,dist:very_close,1.0,1.0,0.0,1.0,1.0,1.0
P19,T20405,no,no,no,no,no,yes,44.69,0.7998,0,dist:medium,0.0,0.0,0.0,0.0,0.0,1.0
P19,T20406,yes,no,no,yes,no,yes,33.35,0.8464,1,dist:medium,1.0,0.0,0.0,1.0,0.0,1.0
P19,T20407,yes,no,no,no,no,yes,422.46,0.121,0,dist:very_far,1.0,0.0,0.0,0.0,0.0,1.0
P19,T20408,yes,yes,no,no,yes,yes,6.45,0.9683,0,dist:very_close,1.0,1.0,0.0,0.0,1.0,1.0
P19,T20409,no,no,no,no,no,yes,38.18,0.8262,0,dist:medium,0.0,0.0,0.0,0.0,0.0,1.0
P19,T20410,no,no,no,no,yes,no,318.75,0.2032,0,dist:very_far,0.0,0.0,0.0,0.0,1.0,0.0
P19,T20411,yes,no,yes,yes,yes,yes,1.36,0.9932,0,dist:very_close,1.0,0.0,1.0,1.0,1.0,1.0
P19,T20412,no,no,no,yes,no,yes,20.65,0.9019,0,dist:close,0.0,0.0,0.0,1.0,0.0,1.0
P19,T20413,yes,no,no,yes,no,yes,419.91,0.1225,1,dist:very_far,1.0,0.0,0.0,1.0,0.0,1.0
P19,T20414,yes,yes,no,no,yes,yes,163.98,0.4405,1,dist:far,1.0,1.0,0.0,0.0,1.0,1.0
P19,T20415,yes,no,no,no,no,yes,18.39,0.9122,1,dist:close,1.0,0.0,0.0,0.0,0.0,1.0
P19,T20416,no,yes,no,no,no,yes,177.99,0.4107,1,dist:far,0.0,1.0,0.0,0.0,0.0,1.0
P19,T20417,no,no,no,no,no,yes,47.95,0.7868,0,dist:medium,0.0,0.0,0.0,0.0,0.0,1.0
P19,T20418,no,yes,no,yes,no,no,24.44,0.885,1,dist:close,0.0,1.0,0.0,1.0,0.0,0.0
P19,T20419,yes,no,no,no,no,yes,14.48,0.9302,1,dist:close,1.0,0.0,0.0,0.0,0.0,1.0
P19,T20420,no,no,no,no,yes,yes,412.2,0.1273,0,dist:very_far,0.0,0.0,0.0,0.0,1.0,1.0
P19,T20421,yes,no,no,yes,yes,yes,243.32,0.2962,1,dist:very_far,1.0,0.0,0.0,1.0,1.0,1.0
P19,T20422,yes,no,no,no,yes,yes,7.51,0.9631,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,1.0
P19,T20423,yes,no,yes,no,no,yes,9.11,0.9555,1,dist:very_close,1.0,0.0,1.0,0.0,0.0,1.0
P19,T20424,no,no,no,yes,yes,yes,4.13,0.9796,0,dist:very_close,0.0,0.0,0.0,1.0,1.0,1.0
P19,T20425,yes,no,yes,no,yes,yes,15.64,0.9248,1,dist:close,1.0,0.0,1.0,0.0,1.0,1.0
P19,T20426,yes,no,no,no,no,yes,1.4,0.993,1,dist:very_close,1.0,0.0,0.0,0.0,0.0,1.0
P19,T20427,no,no,no,yes,no,no,0.71,0.9965,0,dist:very_close,0.0,0.0,0.0,1.0,0.0,0.0
P19,T20428,yes,no,no,no,no,yes,23.67,0.8884,1,dist:close,1.0,0.0,0.0,0.0,0.0,1.0
P19,T20429,no,yes,no,yes,yes,yes,37.79,0.6235,0,dist:medium,0.0,1.0,0.0,1.0,1.0,1.0
P19,T20430,yes,yes,no,no,no,yes,16.33,0.9216,1,dist:close,1.0,1.0,0.0,0.0,0.0,1.0
P19,T20431,yes,no,no,no,yes,yes,2.98,0.9852,0,dist:very_close,1.0,0.0,0.0,0.0,1.0,1.0
P19,T20432,no,yes,no,yes,no,yes,14.32,0.9309,1,dist:close,0.0,1.0,0.0,1.0,0.0,1.0
P19,T20433,yes,no,no,no,no,yes,13.79,0.9334,0,dist:close,1.0,0.0,0.0,0.0,0.0,1.0
P59,T21687,no,no,no,yes,yes,no,12.85,0.9378,1,dist:close,0.0,0.0,0.0,1.0,1.0,0.0
P59,T21688,no,yes,no,yes,no,no,14.11,0.9319,0,dist:close,0.0,1.0,0.0,1.0,0.0,0.0
P59,T21689,yes,no,no,yes,yes,no,251.47,0.2844,0,dist:very_far,1.0,0.0,0.0,1.0,1.0,0.0
P60,T21690,yes,no,no,no,yes,no,6.32,0.9689,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,0.0
P60,T21691,yes,no,no,no,yes,yes,34.35,0.8422,0,dist:medium,1.0,0.0,0.0,0.0,1.0,1.0
P60,T21692,yes,no,no,no,no,yes,4.86,0.976,1,dist:very_close,1.0,0.0,0.0,0.0,0.0,1.0
P60,T21693,yes,no,no,no,yes,no,12.58,0.939,0,dist:close,1.0,0.0,0.0,0.0,1.0,0.0
P60,T21694,yes,no,no,no,yes,no,6.7,0.9671,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,0.0
P60,T21695,yes,no,no,no,yes,yes,3.71,0.9816,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,1.0
P60,T21696,yes,no,no,no,yes,no,43.2,0.8057,0,dist:medium,1.0,0.0,0.0,0.0,1.0,0.0
P60,T21697,yes,no,no,yes,yes,yes,1.97,0.9902,1,dist:very_close,1.0,0.0,0.0,1.0,1.0,1.0
P60,T21698,yes,yes,no,no,yes,yes,6.01,0.9704,0,dist:very_close,1.0,1.0,0.0,0.0,1.0,1.0
P60,T21699,yes,no,no,no,yes,no,6.86,0.9663,0,dist:very_close,1.0,0.0,0.0,0.0,1.0,0.0
P60,T21700,yes,yes,no,no,yes,yes,185.23,0.3961,0,dist:far,1.0,1.0,0.0,0.0,1.0,1.0
P60,T21701,yes,yes,no,no,yes,yes,8.94,0.9563,0,dist:very_close,1.0,1.0,0.0,0.0,1.0,1.0
P60,T21702,no,no,no,no,yes,yes,423.55,0.005,1,dist:very_far,0.0,0.0,0.0,0.0,1.0,1.0
P60,T21703,yes,no,no,yes,yes,yes,5.0,0.9753,1,dist:very_close,1.0,0.0,0.0,1.0,1.0,1.0
P60,T21704,yes,no,no,no,yes,no,3.29,0.9837,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,0.0
P60,T21705,yes,no,no,no,no,yes,1.67,0.9917,0,dist:very_close,1.0,0.0,0.0,0.0,0.0,1.0
P60,T21706,yes,no,no,no,yes,yes,36.63,0.8326,1,dist:medium,1.0,0.0,0.0,0.0,1.0,1.0
P60,T21707,yes,yes,no,no,yes,yes,17.97,0.9141,1,dist:close,1.0,1.0,0.0,0.0,1.0,1.0
P19,T20434,no,yes,no,no,yes,no,10.78,0.9475,0,dist:close,0.0,1.0,0.0,0.0,1.0,0.0
P19,T20435,yes,no,no,no,no,yes,24.01,0.8869,1,dist:close,1.0,0.0,0.0,0.0,0.0,1.0
P19,T20436,yes,no,no,yes,yes,yes,25.61,0.8798,1,dist:close,1.0,0.0,0.0,1.0,1.0,1.0
P19,T20437,yes,yes,no,yes,no,yes,8.46,0.9586,1,dist:very_close,1.0,1.0,0.0,1.0,0.0,1.0
P19,T20438,yes,yes,no,yes,yes,yes,4.9,0.9758,0,dist:very_close,1.0,1.0,0.0,1.0,1.0,1.0
P19,T20439,no,yes,yes,yes,yes,yes,5.75,0.9717,0,dist:very_close,0.0,1.0,1.0,1.0,1.0,1.0
P19,T20440,yes,no,no,yes,no,yes,37.36,0.8296,1,dist:medium,1.0,0.0,0.0,1.0,0.0,1.0
P19,T20441,no,yes,no,no,no,yes,2.12,0.9895,1,dist:very_close,0.0,1.0,0.0,0.0,0.0,1.0
P20,T20442,yes,yes,no,yes,no,no,21.83,0.8966,1,dist:close,1.0,1.0,0.0,1.0,0.0,0.0
P20,T20443,no,yes,no,no,no,yes,183.18,0.4002,1,dist:far,0.0,1.0,0.0,0.0,0.0,1.0
P20,T20444,yes,no,no,no,yes,no,37.29,0.8299,0,dist:medium,1.0,0.0,0.0,0.0,1.0,0.0
P20,T20445,no,no,yes,yes,no,no,34.75,0.8405,1,dist:medium,0.0,0.0,1.0,1.0,0.0,0.0
P20,T20446,no,yes,no,no,no,no,412.78,0.127,0,dist:very_far,0.0,1.0,0.0,0.0,0.0,0.0
P20,T20447,yes,yes,no,no,yes,no,7.54,0.963,1,dist:very_close,1.0,1.0,0.0,0.0,1.0,0.0
P20,T20448,no,yes,no,no,yes,no,25.87,0.8787,0,dist:close,0.0,1.0,0.0,0.0,1.0,0.0
P20,T20449,no,yes,no,yes,yes,no,2.91,0.9856,0,dist:very_close,0.0,1.0,0.0,1.0,1.0,0.0
P20,T20450,no,no,yes,no,no,no,15.61,0.9249,1,dist:close,0.0,0.0,1.0,0.0,0.0,0.0
P20,T20451,no,yes,no,yes,no,yes,7.36,0.9639,0,dist:very_close,0.0,1.0,0.0,1.0,0.0,1.0
P20,T20452,no,no,yes,no,no,no,304.25,0.2184,1,dist:very_far,0.0,0.0,1.0,0.0,0.0,0.0
P20,T20453,no,yes,yes,no,no,no,320.78,0.2011,1,dist:very_far,0.0,1.0,1.0,0.0,0.0,0.0
P20,T20454,no,yes,no,yes,no,no,3.92,0.9806,0,dist:very_close,0.0,1.0,0.0,1.0,0.0,0.0
P20,T20455,no,yes,no,no,no,yes,175.25,0.4163,1,dist:far,0.0,1.0,0.0,0.0,0.0,1.0
P20,T20456,yes,no,no,no,no,no,8.53,0.9582,1,dist:very_close,1.0,0.0,0.0,0.0,0.0,0.0
P20,T20457,no,no,no,no,no,no,312.34,0.2098,0,dist:very_far,0.0,0.0,0.0,0.0,0.0,0.0
P20,T20458,yes,yes,no,no,yes,yes,246.93,0.2909,1,dist:very_far,1.0,1.0,0.0,0.0,1.0,1.0
P20,T20459,no,no,no,yes,yes,no,6.37,0.9687,0,dist:very_close,0.0,0.0,0.0,1.0,1.0,0.0
P20,T20460,no,no,no,yes,yes,yes,8.11,0.9603,1,dist:very_close,0.0,0.0,0.0,1.0,1.0,1.0
P20,T20461,no,no,yes,no,no,yes,9.04,0.9558,1,dist:very_close,0.0,0.0,1.0,0.0,0.0,1.0
P20,T20462,yes,yes,no,no,no,no,44.0,0.8025,0,dist:medium,1.0,1.0,0.0,0.0,0.0,0.0
P20,T20464,no,no,no,no,no,yes,42.64,0.808,0,dist:medium,0.0,0.0,0.0,0.0,0.0,1.0
P20,T20465,yes,no,no,no,yes,yes,316.64,0.2053,0,dist:very_far,1.0,0.0,0.0,0.0,1.0,1.0
P20,T20466,no,no,no,no,yes,no,31.34,0.855,1,dist:medium,0.0,0.0,0.0,0.0,1.0,0.0
P20,T20467,no,no,no,yes,yes,no,40.39,0.8171,0,dist:medium,0.0,0.0,0.0,1.0,1.0,0.0
P20,T20468,no,yes,yes,no,no,no,319.67,0.2022,1,dist:very_far,0.0,1.0,1.0,0.0,0.0,0.0
P20,T20469,yes,yes,no,yes,no,no,46.18,0.7938,0,dist:medium,1.0,1.0,0.0,1.0,0.0,0.0
P20,T20470,yes,no,no,yes,no,no,6.25,0.9692,1,dist:very_close,1.0,0.0,0.0,1.0,0.0,0.0
P20,T20471,yes,no,no,no,yes,no,5.88,0.971,1,dist:very_close,1.0,0.0,0.0,0.0,1.0,0.0
P20,T20472,no,no,yes,no,yes,no,37.69,0.8282,1,dist:medium,0.0,0.0,1.0,0.0,1.0,0.0
P20,T20473,yes,no,no,no,no,no,241.64,0.2987,0,dist:very_far,1.0,0.0,0.0,0.0,0.0,0.0
P20,T20474,no,no,no,no,no,no,31.02,0.8563,0,dist:medium,0.0,0.0,0.0,0.0,0.0,0.0
P20,T20475,no,yes,no,no,no,yes,180.51,0.1047,1,dist:far,0.0,1.0,0.0,0.0,0.0,1.0
P20,T20476,no,yes,no,no,yes,yes,4.69,0.9768,1,dist:very_close,0.0,1.0,0.0,0.0,1.0,1.0
P20,T20477,yes,no,yes,no,no,no,10.29,0.9499,0,dist:close,1.0,0.0,1.0,0.0,0.0,0.0
P20,T20478,no,yes,no,no,no,no,33.99,0.8437,1,dist:medium,0.0,1.0,0.0,0.0,0.0,0.0
P20,T20479,no,yes,no,no,no,yes,180.78,0.405,1,dist:far,0.0,1.0,0.0,0.0,0.0,1.0
P20,T20480,no,yes,no,yes,no,no,6.78,0.9667,1,dist:very_close,0.0,1.0,0.0,1.0,0.0,0.0
P20,T20481,no,no,no,yes,yes,yes,20.81,0.9012,1,dist:close,0.0,0.0,0.0,1.0,1.0,1.0
P20,T20482,yes,no,no,yes,no,no,34.43,0.8419,1,dist:medium,1.0,0.0,0.0,1.0,0.0,0.0
P20,T20483,yes,no,yes,yes,no,no,2.83,0.9652,1,dist:very_close,1.0,0.0,1.0,1.0,0.0,0.0
P20,T20484,no,no,no,yes,no,no,42.31,0.8093,1,dist:medium,0.0,0.0,0.0,1.0,0.0,0.0
P20,T20485,no,no,yes,no,no,yes,256.67,0.2771,0,dist:very_far,0.0,0.0,1.0,0.0,0.0,1.0
P20,T20486,yes,yes,yes,no,yes,no,251.75,0.284,1,dist:very_far,1.0,1.0,1.0,0.0,1.0,0.0
P20,T20487,yes,yes,no,no,no,yes,252.65,0.2827,0,dist:very_far,1.0,1.0,0.0,0.0,0.0,1.0
P20,T20488,no,no,yes,no,no,no,316.59,0.2054,0,dist:very_far,0.0,0.0,1.0,0.0,0.0,0.0
P20,T20489,no,yes,no,yes,no,yes,16.79,0.9195,1,dist:close,0.0,1.0,0.0,1.0,0.0,1.0
P20,T20490,no,no,no,no,yes,no,10.29,0.9499,1,dist:close,0.0,0.0,0.0,0.0,1.0,0.0
P20,T20491,no,yes,no,yes,yes,yes,5.85,0.9712,1,dist:very_close,0.0,1.0,0.0,1.0,1.0,1.0
P20,T20492,yes,yes,no,no,no,no,42.11,0.8101,1,dist:medium,1.0,1.0,0.0,0.0,0.0,0.0
P20,T20493,no,no,no,no,no,no,13.63,0.9341,1,dist:close,0.0,0.0,0.0,0.0,0.0,0.0
P20,T20494,no,no,no,no,yes,yes,417.3,0.1241,0,dist:very_far,0.0,0.0,0.0,0.0,1.0,1.0
P20,T20495,no,yes,yes,no,no,no,4.06,0.9799,1,dist:very_close,0.0,1.0,1.0,0.0,0.0,0.0
P20,T20496,no,yes,no,yes,no,yes,23.24,0.8903,1,dist:close,0.0,1.0,0.0,1.0,0.0,1.0
P20,T20497,yes,no,no,yes,no,yes,7.25,0.9644,0,dist:very_close,1.0,0.0,0.0,1.0,0.0,1.0
P20,T20498,no,no,yes,no,yes,yes,13.01,0.937,0,dist:close,0.0,0.0,1.0,0.0,1.0,1.0
P20,T20499,no,no,no,no,no,no,317.1,0.2048,0,dist:very_far,0.0,0.0,0.0,0.0,0.0,0.0
P20,T20500,yes,yes,no,yes,yes,yes,8.64,0.9577,1,dist:very_close,1.0,1.0,0.0,1.0,1.0,1.0
P21,T20501,yes,yes,no,yes,no,no,26.34,0.8766,1,dist:close,1.0,1.0,0.0,1.0,0.0,0.0
P21,T20502,yes,no,yes,no,no,no,33.05,0.8477,1,dist:medium,1.0,0.0,1.0,0.0,0.0,0.0
P21,T20503,yes,no,no,yes,no,no,249.87,0.2867,1,dist:very_far,1.0,0.0,0.0,1.0,0.0,0.0
P21,T20504,yes,no,no,yes,no,no,5.09,0.9749,1,dist:very_close,1.0,0.0,0.0,1.0,0.0,0.0
P21,T20505,yes,no,no,yes,no,no,4.41,0.9782,1,dist:very_close,1.0,0.0,0.0,1.0,0.0,0.0
P21,T20507,yes,no,no,no,no,no,250.6,0.2856,0,dist:very_far,1.0,0.0,0.0,0.0,0.0,0.0
P21,T20508,yes,no,no,yes,no,no,7.58,0.9628,1,dist:very_close,1.0,0.0,0.0,1.0,0.0,0.0
P21,T20509,yes,no,no,no,no,no,307.07,0.2154,0,dist:very_far,1.0,0.0,0.0,0.0,0.0,0.0
P21,T20510,yes,no,no,no,no,no,13.9,0.8405,0,dist:close,1.0,0.0,0.0,0.0,0.0,0.0
P21,T20511,yes,yes,no,no,no,no,40.25,0.8177,1,dist:medium,1.0,1.0,0.0,0.0,0.0,0.0
P21,T20512,yes,yes,no,yes,no,no,1.81,0.991,1,dist:very_close,1.0,1.0,0.0,1.0,0.0,0.0
P21,T20513,yes,no,no,no,no,no,30.4,0.859,0,dist:medium,1.0,0.0,0.0,0.0,0.0,0.0
P21,T20514,yes,yes,no,no,yes,no,15.52,0.8237,0,dist:close,1.0,1.0,0.0,0.0,1.0,0.0
P21,T20516,no,no,no,yes,no,yes,184.21,0.1,1,dist:far,0.0,0.0,0.0,1.0,0.0,1.0
P21,T20517,yes,yes,no,no,no,no,40.85,0.8153,0,dist:medium,1.0,1.0,0.0,0.0,0.0,0.0
P21,T20518,no,no,no,no,no,no,34.58,0.8412,1,dist:medium,0.0,0.0,0.0,0.0,0.0,0.0
P21,T20519,no,no,no,no,no,no,17.11,0.918,0,dist:close,0.0,0.0,0.0,0.0,0.0,0.0
P21,T20520,yes,no,no,no,no,yes,16.68,0.92,1,dist:close,1.0,0.0,0.0,0.0,0.0,1.0
P21,T20521,yes,yes,no,yes,yes,no,36.68,0.8324,1,dist:medium,1.0,1.0,0.0,1.0,1.0,0.0
P21,T20522,yes,no,no,no,no,no,5.58,0.9725,1,dist:very_close,1.0,0.0,0.0,0.0,0.0,0.0
P21,T20524,yes,yes,no,no,yes,no,25.22,0.7296,0,dist:close,1.0,1.0,0.0,0.0,1.0,0.0
P21,T20525,yes,no,no,yes,no,no,170.11,0.4272,1,dist:far,1.0,0.0,0.0,1.0,0.0,0.0
P21,T20526,yes,no,no,no,no,no,36.8,0.8319,0,dist:medium,1.0,0.0,0.0,0.0,0.0,0.0
P21,T20527,yes,no,no,no,no,yes,36.8,0.6313,0,dist:medium,1.0,0.0,0.0,0.0,0.0,1.0
P21,T20528,yes,no,no,yes,no,no,5.96,0.9706,1,dist:very_close,1.0,0.0,0.0,1.0,0.0,0.0
P21,T20529,yes,no,no,no,no,yes,2.13,0.9894,0,dist:very_close,1.0,0.0,0.0,0.0,0.0,1.0
P21,T20530,yes,no,yes,no,no,yes,22.51,0.8936,1,dist:close,1.0,0.0,1.0,0.0,0.0,1.0
P21,T20531,yes,no,no,yes,yes,no,4.78,0.9764,1,dist:very_close,1.0,0.0,0.0,1.0,1.0,0.0
P21,T20532,yes,no,no,yes,no,yes,12.2,0.9408,0,dist:close,1.0,0.0,0.0,1.0,0.0,1.0
P21,T20534,yes,no,no,yes,no,yes,4.14,0.9795,1,dist:very_close,1.0,0.0,0.0,1.0,0.0,1.0
P22,T20535,no,yes,yes,yes,no,yes,316.04,0.2059,1,dist:very_far,0.0,1.0,1.0,1.0,0.0,1.0
P22,T20536,no,yes,no,yes,no,no,23.26,0.8902,1,dist:close,0.0,1.0,0.0,1.0,0.0,0.0
P22,T20537,no,yes,no,no,no,yes,178.11,0.4104,1,dist:far,0.0,1.0,0.0,0.0,0.0,1.0
P22,T20538,no,yes,yes,yes,yes,no,41.84,0.8112,0,dist:medium,0.0,1.0,1.0,1.0,1.0,0.0
P22,T20539,no,yes,no,yes,yes,no,8.05,0.9605,1,dist:very_close,0.0,1.0,0.0,1.0,1.0,0.0
P22,T20540,yes,yes,no,no,no,no,20.78,0.9013,0,dist:close,1.0,1.0,0.0,0.0,0.0,0.0
P22,T20541,no,yes,no,yes,no,no,12.34,0.9402,1,dist:close,0.0,1.0,0.0,1.0,0.0,0.0
P22,T20542,no,no,yes,no,no,no,3.3,0.9836,0,dist:very_close,0.0,0.0,1.0,0.0,0.0,0.0
P22,T20543,no,no,yes,no,no,no,9.54,0.9534,1,dist:very_close,0.0,0.0,1.0,0.0,0.0,0.0
P22,T20544,no,yes,yes,yes,no,no,423.11,0.1206,1,dist:very_far,0.0,1.0,1.0,1.0,0.0,0.0
P22,T20545,no,yes,yes,yes,no,no,13.78,0.8418,1,dist:close,0.0,1.0,1.0,1.0,0.0,0.0
