passenger_id,quiet_ride,radio_ok,smoking_ok,pets_ok,luggage_large,female_driver_pref
P102,yes,yes,yes,no,no,yes
P103,no,yes,no,no,no,no
P104,yes,no,yes,yes,no,yes
P105,yes,yes,no,no,yes,no
P106,yes,yes,yes,yes,yes,yes
P107,yes,no,yes,yes,yes,yes
P108,no,yes,yes,no,no,no
P109,yes,no,yes,yes,yes,no
P110,no,no,yes,no,yes,no
P111,yes,no,yes,no,no,no
P112,yes,no,no,yes,yes,no
P113,yes,yes,yes,yes,no,no
P114,no,no,yes,no,yes,no
P115,no,yes,yes,yes,no,yes
P116,no,yes,yes,yes,yes,no
P117,yes,yes,no,no,no,yes
P118,no,no,yes,no,no,yes
P119,yes,yes,yes,yes,no,no
P120,yes,no,no,no,no,yes
P121,yes,no,no,yes,yes,yes
P122,no,no,no,no,yes,no
P123,no,yes,yes,no,yes,no
P124,yes,no,no,yes,no,yes
P125,no,no,no,yes,no,yes
P126,yes,no,yes,no,no,no
P127,yes,no,no,yes,yes,no
P128,yes,yes,yes,yes,yes,yes
P129,no,yes,no,no,no,no
P130,no,no,yes,yes,no,yes
P131,yes,yes,no,yes,no,yes
P132,yes,yes,yes,no,yes,no
P133,yes,yes,yes,yes,yes,yes
P134,no,no,yes,no,yes,no
P135,yes,no,yes,yes,no,no
P136,yes,yes,no,no,yes,no
P137,yes,yes,no,yes,yes,no
P138,yes,no,yes,no,no,no
P139,yes,no,no,no,no,yes
P140,yes,yes,yes,yes,yes,no
P141,no,yes,yes,yes,no,no
P142,yes,no,yes,yes,yes,yes
P143,yes,yes,no,no,no,yes
P144,no,no,no,no,yes,no
P145,no,yes,yes,yes,no,yes
P146,no,no,no,yes,no,no
P147,no,no,no,yes,yes,no
P148,yes,yes,no,yes,no,no
P149,no,no,no,yes,no,yes
P150,yes,yes,no,no,yes,no
P151,yes,yes,yes,yes,yes,no
P152,yes,no,yes,no,yes,no
P153,no,no,no,yes,no,no
P154,no,yes,yes,no,no,yes
P155,no,yes,no,yes,yes,no
P156,no,yes,no,no,no,no
P157,no,yes,yes,no,no,no
P158,yes,no,yes,yes,no,no
P159,no,yes,no,no,yes,no
P160,no,yes,yes,yes,no,yes
P161,yes,no,no,no,no,no
P162,yes,no,no,yes,no,yes
P163,yes,yes,yes,yes,yes,no
P164,yes,no,yes,yes,no,yes
P165,no,yes,no,yes,no,no
P166,no,no,yes,no,no,no
P167,no,no,no,no,yes,no
P168,no,no,no,yes,no,no
P169,no,no,no,yes,yes,yes
P170,yes,yes,yes,yes,no,yes
P171,no,yes,no,no,no,yes
P172,yes,no,yes,yes,no,yes
P173,yes,no,yes,no,yes,yes
P174,no,yes,no,yes,no,yes
P175,yes,yes,yes,no,no,no
P176,yes,no,no,yes,yes,no
P177,no,yes,no,no,no,no
P178,no,yes,yes,no,yes,no
P179,no,yes,yes,yes,no,yes
P180,yes,no,no,yes,no,yes
P181,no,no,no,yes,no,no
P182,yes,yes,no,yes,no,yes
P183,yes,yes,no,no,no,no
P184,no,no,yes,no,no,yes
P185,no,no,yes,no,no,no
P186,no,no,no,no,no,yes
P187,no,yes,no,no,yes,yes
P188,yes,no,no,no,no,no
P189,yes,yes,no,yes,yes,no
P190,yes,no,no,yes,no,yes
P191,yes,no,yes,no,yes,yes
P192,yes,no,yes,no,no,no
P193,no,no,yes,no,no,yes
P194,no,no,no,yes,yes,yes
P195,yes,yes,no,no,yes,no
P196,no,no,yes,no,no,no
P197,no,no,yes,yes,yes,no
P198,yes,yes,no,yes,no,yes
P199,yes,no,yes,no,no,yes
P200,yes,yes,yes,yes,yes,no
P201,no,no,yes,yes,no,no
P202,no,yes,no,no,yes,yes
P203,no,yes,yes,no,yes,yes
P204,no,no,no,no,yes,no
P205,yes,yes,no,yes,yes,yes
P206,yes,yes,yes,yes,no,yes
P207,yes,yes,no,yes,no,no
P208,no,yes,yes,no,no,yes
P209,no,no,yes,no,no,no
P210,yes,no,no,yes,yes,yes
P211,yes,yes,yes,yes,no,no
P212,no,yes,no,no,yes,yes
P213,yes,no,yes,yes,no,yes
P214,no,yes,yes,yes,no,no
P215,yes,no,yes,no,yes,yes
P216,no,no,no,no,yes,yes
P217,no,no,no,yes,no,yes
P218,no,no,no,yes,no,yes
P219,no,no,no,yes,yes,no
P220,no,no,yes,no,yes,yes
P221,yes,yes,yes,no,yes,no
P222,no,no,no,yes,yes,yes
P223,yes,no,no,no,no,no
P224,no,yes,yes,yes,yes,yes
P225,no,no,yes,no,no,no
P226,no,yes,yes,no,yes,no
P227,yes,yes,yes,no,no,no
P228,no,no,no,yes,no,no
P229,yes,yes,yes,no,no,no
P230,no,yes,no,no,no,yes
P231,no,yes,yes,yes,yes,yes
P232,yes,no,no,no,yes,yes
P233,no,no,no,yes,no,no
P234,yes,no,yes,yes,yes,yes
P235,yes,yes,no,yes,yes,yes
P236,yes,yes,yes,no,no,yes
P237,yes,no,no,no,no,no
P238,yes,yes,yes,yes,yes,no
P239,yes,no,yes,no,yes,yes
P240,no,no,no,no,yes,no
P241,no,yes,yes,yes,yes,no
P242,yes,yes,no,no,yes,yes
P243,no,yes,yes,no,no,no
P244,no,yes,yes,yes,no,yes
P245,yes,yes,no,no,no,yes
P246,no,yes,yes,no,yes,yes
P247,no,yes,yes,yes,yes,no
P248,yes,yes,yes,no,yes,no
P249,no,no,no,yes,yes,no
